,statement,target,image-path
25,"""About a third of Texas has seen a 20-25% population loss in the last 5 years.""",0,Pg 98__14_0856377161d85cdf423ae865f6f4bc5a.jpg
26,Derek Chauvin¡¯s attorney said that space aliens ¡°inhabited the body of Derek Chauvin and caused this death.¡±,0,Pg 57__27_89a4dc87b5a893b9700f21e7e5e440c0.jpg
27,"""Afghanistan has more hectares (of opium poppies) planted today than they had before we started this war.""",1,Pg 17__16_958cd06919f39adaa29a915a5865fc3e.jpg
28,"Says Abraham Lincoln tried to buy slaves'?freedom in border states, but the states ""all rejected it.""",1,Pg 36__28_d8926d9ffd5d7eb9b66ac3e9125adb9d.jpg
29,President Donald Trump ¡°will evoke (sic) what is called the Stafford act¡± and ¡°order a two week mandatory quarantine for the nation.¡±,0,Pg 92__29_f474296cf51561691b8dd3f9de53fb60.jpg
30,"¡°Per order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.¡±",0,Pg 90__11_7b7b74115665a3ffc93ab2f4837658e1.jpg
31,"Says science shows the physiological effects of wearing masks include hypoxemia, hypercapnia, shortness of breath, toxicity and increased muscle tension.",0,Pg 58__8_f621009668acf14f7b75df18f13b01c7.jpg
32,¡°Pfizer Confirms COVID-Vaccinated People Can ¡®Shed¡¯ Spike Proteins And Harm The Unvaccinated",0,Pg 42__9_57e1838b229b03ce41d0027d306f2397.jpg
33,"¡°Bernie Sanders wants free health care for all and was asked how he would pay for it. His answer was raise taxes to 52% on anybody making over $29,000 per year.¡±",0,Pg 95__20_775b303a20a0891bae727a419bd386e4.jpg
34,"State Sen. Kirk deViere voted against Medicaid expansion, the governor¡¯s budget and teacher raises.",0,Pg 25__9_307f643a0889f57256ca102e9f6233f6.JPEG
35,¡°There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.",1,Pg 4__9_8057ec69aebd7583c21596e35f2f0b47.jpg
36,¡°There is no science or data to suggest that kids are at risk from COVID.¡±,0,Pg 83__2_3ea1bb139318a0393b5ebf43a3d4c405.jpg
37,Says he "paid one dollar for" a sweater at Kohl¡¯s.,1,Pg 30__10_77975e96d040e368a1e143afdd039ea5.JPG
38,"""Chicago maintained the lowest unemployment rate through most of 2021 of any large American city.""",0,Pg 35__26_543b967754408332e4ea0ed7c6c6974e.jpg
39,The Pfizer COVID-19 vaccine ¡°is not approved.¡±,0,Pg 45__28_30f7b380919d24eed1478ee137795ce8.jpg
40,"""There is a group going to homes and pretending to be officials from home affairs. They have documents with the letterhead Department of Home Affairs and claim to be confirming that everyone has a valid ID for the upcoming census. They are robbing homes.""",0,Pg 95__11_f2a59232ae4179a0ee53da7ede2917bc.jpg
41,"¡°In case you forgot. Two years ago today, we were experiencing the greatest economy in the history of the world.¡±",0,Pg 44__19_093e157a3b4ed8cef20fbb957692979e.jpg
42,Says "Bill Clinton and George Bush both say build the Keystone XL.",1,Pg 37__9_e4c83ac3897924be03d6dd58cadc7642.JPG
43,¡°We know mask mandates work. There¡¯s enough evidence out there between counties that have done it and counties that haven¡¯t.",1,Pg 4__12_60568a04ea75ada8ae866aa95537fa62.jpg
44,Hank Aaron and Marvelous Marvin Hagler died ¡°after taking the COVID-19 vaccine.¡±,0,Pg 60__13_3554ab77264686df9da302188c58cf81.jpg
45,The problem with mail ballots in Lancaster County is a sign of ¡°voter fraud.¡±,0,Pg 24__27_79efc830c6fa023b9899dc9245fb493c.jpg
46,Student ID cards are a ¡°source of fraud¡± at the polls.,0,Pg 2__3_d9ea2ca3d021a773d207dfdae9219367.jpg
47,President Joe Biden ¡°cheated on his taxes and got away with it.¡±,0,Pg 3__10_f26a59ae51f1447b414c5a7a568cd85e.jpg
48,U.S. Rep. Ilhan Omar is "facing 40 years in prison and deportation after seven new crimes uncovered.",0,Pg 3__29_edd8939de1de29645e102af9ee22563e.jpeg
49,"¡°CDC COVID-19 survival rates¡± are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.",0,Pg 66__1_eb81a4e037fbdeaaa8f7810d37457642.jpg
50,"¡°If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.¡±",1,Pg 2__30_27152baeb233055770b17b45c6f0f3fe.jpeg
51,¡°Putin Vows to ¡®Crush¡¯ Child Traffickers in Ukraine¡±,0,Pg 30__21_057aa5a3e021a91577c8590d7ea60ae1.jpeg
52,"¡°Biden failed to condemn far-left violent groups like Antifa, instead faulting only the brave men and women of law enforcement.¡±",0,Pg 77__30_a8ed76826e6edec0a8f612f4443cf0b1.jpg
53,"""Big soda has a lot of money.?They make a lot of profit off their product and they market in neighborhoods that suffer from these very things that we¡¯re trying to cure.""",1,Pg 24__9_0f4ad95fb6be660ca2c7eb8224fa12e6.jpg
54,¡°We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.¡±,1,Pg 2__11_0e25745df8b6432f74100ae6b233bf1e.jpeg
55,"""Trump bailed out Wall Street, but not Main Street.""",0,Pg 88__28_6eba4e8841cefca46fc6d426366531b0.jpg
56,Says a report of unvaccinated Florida teachers dying from COVID-19 isn¡¯t real.,0,Pg 47__12_865297e370293a95235d56ff131510c5.jpeg
57,BBC News edited out boos in footage of Boris Johnson arriving at the Queen¡¯s Platinum Jubilee thanksgiving service.,0,Pg 22__26_a1f6eea1469ee02a4d40dac2ad87b3c0.jpeg
58,¡°President Biden says he wants to ban handguns.¡±,0,Pg 49__28_1241ba2e85608c985c6f9c44b29cd55a.jpg
59,"""The top 1% pays 90% of income taxes.¡±",0,Pg 46__6_f563fcfbd5d177205ad75b8f93e05c13.jpg
60,Says Tony Evers and Mandela Barnes ¡°have participated in rallies that have done more to incite than calm the situation¡± in Kenosha,0,Pg 78__3_4e4b18964ccece100f7aa2bf3428c008.jpg
61,Says Mark Kelly took to space a ¡°Chinese communist banner.¡±,0,Pg 72__1_4b031ebe5b9adf02fc7dff483d688cc6.jpeg
62,"""In Austin, Texas, the average homeowner is paying about $1,300 to $1,400 just for recapture,"" meaning funds spent in non-Austin school districts.",1,Pg 18__28_61bfd6e7f7f1c7b58f7dd8e32860871e.jpg
63,North Carolina Secretary of State Elaine Marshall "has won more statewide races than probably anyone else alive.",1,Pg 4__14_1eb9851db1dd5c0939c812171c2fd123.jpg
64,Brewpubs can't sell growlers of their beer to customers.,1,Pg 26__24_56ef3b143bb6a9674e96ac1369909deb.jpg
65,¡°It¡¯s actually the safest time to fly.¡±,0,Pg 93__10_e11b802993ed0ed9695492e5716a39dc.jpg
66,"""Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy.""",0,Pg 67__25_24d17c6765628c4a11e88ebf32705005.jpg
67,"""Leah Vukmir OPPOSES Buy American legislation.""",1,Pg 12__18_023f5bdf305407e21b569741525a1f90.JPG
68,Wearing the Kente cloth ¡°worn by affluent African slave traders¡± is ¡°like honoring Jews by wearing swastikas.¡±,0,Pg 85__18_bfaee8240a09356d4e04f2704a966228.jpg
69,The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.,1,Pg 26__6_f08470cef33554a5cac61491875ca33a.jpg
70,¡°The Bidens own 10% of¡± a Chinese firm whose stock is up almost 300%¡± since Joe Biden was elected.,0,Pg 46__12_4a65e3d4689f27ba7c425889ab81a007.jpg
71,"Says he has been to ¡°Afghanistan, Iraq and those areas¡± twice as president.",0,Pg 6__10_42e232b1adbb865ee2d2cae768d5ff4d.jpg
72,Says a video shows Greta Thunberg firing a rifle.,0,Pg 97__20_8ae8122b52b3b08b1941433b93644f05.jpg
73,"""California's Attorney General, Xavier Becerra is putting together plans to raise property tax revenue by eliminating the only thing keeping some people's property tax from sky rocketing, Prop 13.""",0,Pg 97__12_d04d954883941207a3461a0e22a53584.jpg
74,¡°This week the military was moving big equipment into the major big cities preparing for the Maricopa audit results.¡±,0,Pg 49__25_cbe25150a4ba847bf39d9d0f4a0ef79f.jpg
75,"Says Joe Biden ¡°had 308,000 military people dying because you couldn¡¯t provide them proper healthcare in the military.¡±",0,Pg 74__20_988e19c18bca9b0238072ae90497a8ae.jpg
76,"""Close to half of the children"" in California are ""at or near poverty,"" when you consider cost-of-living.",1,Pg 12__24_bc0414a8b76bdb9e05e627e57754a735.jpg
77,Emails show "Fauci's fellow scientist could tell early on that the (coronavirus) looked manufactured.",0,Pg 54__7_3843c33e2f269414da00a37c66e7e9cc.jpg
78,No one ¡°with a concealed carry permit ever committed a mass shooting.",0,Pg 21__18_7964ac89d6bd99267daa50fa61ccb361.jpg
79,¡°At John Lewis funeral Obama told a room full of people that rooms full of people is too dangerous so we must mail in vote.¡±,0,Pg 80__22_b957f4c5db53b91ab15f3be167b99fbb.jpg
80,The southern U.S. border ¡°is now open to anyone from anywhere in the world who wishes to enter our country.¡±,0,Pg 59__27_06a1e9a44c2877361bdc5dbcdf1a0c58.jpg
81,¡°Pipelines do not freeze. They are naturally insulated. They¡¯re buried beneath the ground.¡±,1,Pg 4__5_5355ffc964f84c47bd8090ae4991b07f.jpg
82,¡°The Obama administration made a decision on testing that turned out to be very detrimental to what we¡¯re doing¡± on the coronavirus.,0,Pg 93__30_00184b969be566a660cafa56171cb05a.jpg
83,"Millionaires are eligible for food stamps, but ""Donald Trump came along and decided to put a stop to it.""",1,Pg 8__24_5a0d323670334aa775edfc120a1fce65.JPG
84,Antifa ¡°are killing our police. Looting our businesses. Assaulting the elderly and burning our churches.¡±,0,Pg 84__4_f0cdca7fa599487e6b199d32bf8aaac1.jpg
85,"""Six states can't get the votes counted. Six states in which @realDonaldTrump is leading. Six states where Dems are in charge.""",0,Pg 69__17_2214ab9deacb5d1825cb722bbd8059df.jpg
86,"""The United States is the ONLY industrialized country without universal healthcare.""",1,Pg 9__22_87a72dfbcd1bfc1e12fdd0be44d4be79.JPG
87,"In its July ¡°red alert¡± for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",0,Pg 18__27_4b926049d166f0583c5f4970beb45041.jpg
88,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,0,Pg 32__12_79e70a9483550ecc720b9429e43c2af9.jpg
89,"Virginia Tech swimmer Reka Gyorgy tweeted, ¡°My finals spot was stolen by Lia Thomas, who is a biological male.¡±",0,Pg 30__12_7581b5293824178d78bd93a6379036ed.jpg
90,¡°Ultraviolet Radiation is administered into the body as a disinfectant to kill bacteria and viruses and this has been used for a while now.¡±,0,Pg 89__17_c1765724ff5b8ad5dae7d3299b1eeeb3.jpg
91,"""I¡¯m one of the first guys to introduce a climate change bill, way, way back in ¡®87.""",1,Pg 10__5_2517fab848898c47b5659f9a7028a7ac.jpg
92,"According to International Olympic Committee data, ¡°an average of 29 athletes under the age of 35 suffered sudden death per year from 1966 to 2004. From March 2021 to March 2022, 769 athletes have died or suffered cardiac arrest.""",0,Pg 21__23_1c3742e5e45af9b9a2399a03eb16b4d9.jpeg
93,Says Warren Buffett has publicly said his secretary "should not be paying a higher tax rate" than him.,1,Pg 19__27_b94ae0182208996d648eb948bf0d469f.jpg
94,Says she "is 6th in hard dollars raised and has more cash on hand than Governors (John) Kasich and (Chris) Christie combined.",1,Pg 25__10_e124d2d1f2a4d30f6a512ab13f5b1eed.jpg
95,¡°Seven ecological disasters in less than 2 weeks. ¡­ We are under attack.¡±,0,Pg 2__22_1d56bcb38b77aed5bfeca330cbe399d3.jpg
96,"""Ronald Reagan was a verified Democrat until his mid-50s.""",1,Pg 15__26_8fdf9b42c07120c27160cd9405272b65.JPG
97,"""Planned Parenthood is the biggest abortion provider in the country.""",1,Pg 16__29_e3598384dbc61f35c4648b18c5e3262e.JPG
98,"""Obamacare was patterned after (Mitt Romney's) plan in Massachusetts.""",1,Pg 61__10_3683198ee91473dfc39ecfd7a61ab584.jpg
99,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",1,Pg 2__12_dce7b9e7c73cbb31f622f3a24d322b79.jpg
100,"""State law says that once the state appraises a piece of property, they can only pay it a certain amount above appraisal.""",1,Pg 41__11_cc710d6923596d906c60210a0a542be1.jpg
101,Says "Pelosi blackmails Congress! She demands mail-in voting or no 2nd stimulus for you and your family.¡±,0,Pg 80__11_1fa8133d20482ea3c4bffb33f0e39212.jpeg
102,¡°Trudeau declares Emergencies Act amounting to near martial law in Canada.¡±,0,Pg 33__23_02cd9cf3dec009acf1b08ebf298a5be6.jpeg
103,mRNA technology in COVID-19 vaccines was never tested in humans.,0,Pg 52__12_95f83858f622b2fdb1eddae6e71daf54.jpg
104,"""Today California is kicking our butt, creating more jobs and more economic growth than Texas.""",1,Pg 21__18_830d0057f82cd49f7a9595334ec73fe0.jpg
105,"""George Soros has endorsed (Ron) DeSantis for 2024.""",0,Pg 2__4_21a416e71c0b4fae4df9f8b55a67fbce.jpg
106,"""As attorney general, I have prosecuted judges, district attorneys and other public officials across Texas who violated that (public) trust, who have been corrupted.""",1,Pg 37__5_64822e0b9f790732f1b3fe04f1f1c56a.jpg
107,"""Report: Vaccine related deaths may rival recorded COVID-19 deaths.""",0,Pg 53__8_0322090ad0e0c74fb8620cb9180a9a8e.jpg
108,Says Bob Saget died from the COVID-19 vaccine.,0,Pg 37__19_43dcb76ac67607e534de4d975c208fdd.jpeg
109,¡°Only about 20%¡± of people who apply for asylum qualify for it.,0,Pg 7__24_0ed3796684911d91b175f35f73bbd5ee.jpg
110,"When President Barack Obama said ISIS, or ISIL, was contained, he ""was responding very specifically to the geographic expansion of ISIL in Iraq and Syria.""",1,Pg 26__13_0cd5270bc048803a66f8b4c0d0f075a8.jpg
111,¡°Joe Biden wants to raise taxes on 82% of all Americans.¡±,0,Pg 77__26_37bc2dc633d73e6b034ef5e435afd881.jpg
112,The Transportation Security Administration spent ¡°a couple hundred million dollars¡± on gender-neutral screening technology.,0,Pg 4__21_72cac43e9904f415829cab2b73e25f31.jpg
113,"Says ¡°Hunter Biden had 25,000 pics of him torturing and raping children under age 10 in China on his laptop.¡±",0,Pg 72__11_2ecd1db73bc0e8b58ae97e2277838813.jpg
114,Says Charlie Crist "implemented Jeb Bush¡¯s A+ Plan.",1,Pg 36__8_44b2f78c6b410f4ed897e6eaad764a11.jpg
115,¡°Walmart has just pledged $100 million to Black Lives Matter.¡±,0,Pg 81__23_71eb5f534cee6b160968a803344884e2.jpg
116,"Recently released Jan. 6 footage shows ""these cops using massive amounts of force against unarmed Trump supporters, including women.""",0,Pg 37__21_b3aaed19bd641db6571edf4a3d61b406.jpg
117,¡°Biden and Democrats have dismantled border security.¡±,0,Pg 10__5_7d4d2f79c3b17cef5577a8a3cf891210.jpg
118,"The COVID-19 vaccines¡¯ ¡°spike protein is very dangerous, it's cytotoxic.¡±",0,Pg 53__3_24cc10528c853f72b12ee1ba4b3132a3.jpg
119,Says Sen. Thom Tillis ¡°doesn¡¯t think restaurant workers should have to wash their hands.¡±,0,Pg 81__30_d5e56235c6db55730bda96f2771a238c.jpg
120,90 percent of Americans "support universal background checks" for gun purchases.,1,Pg 15__22_43a2e6065f7e43c75fdb61bc6ba71f49.jpg
121,¡°Jaime Harrison is being left off of South Carolina ballots¡±,0,Pg 72__21_609f0fa30d71e5fec916971d3aa79392.jpg
122,Video shows former President Barack Obama sharing how to mislead the public.,0,Pg 17__11_dd8dce0d50ea075cfe725412e90b6a23.jpeg
123,March 2022 moon crash was orchestrated by the government and visible from Earth.,0,Pg 27__28_5d9daa7c3fbb65e6b95af8c63e7dbbbf.jpeg
124,The 2020 election results in Pennsylvania ¡°show a statistically impossible pattern¡± and votes were manufactured for Joe Biden.,0,Pg 52__27_0966004d0933ac222d40c9b030d037bf.jpg
125,"Esta grabaci¨®n muestra una llamada al 911 de los migrantes atrapados en un cami¨®n en San Antonio, Texas.",0,Pg 21__16_575e84327aef37d6071952e7d92ce6ff.jpg
126,¡°(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.¡±,1,Pg 5__19_262ba2c85cf82d85263b9109c040ecee.jpg
127,Says the cartels are so bad in a Mexican?border state that the U.S. government issued a ¡®Do Not Travel¡¯ warning -- the same warning it issued for Syria.,1,Pg 8__15_152bec2758b204fd5c56aafa7ebedcfc.jpg
128,My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat,1,Pg 5__10_551cf0329d433ad137d7b4905aeb322f.jpg
129,"""Water-fueled car can travel from LA to NY on 22 gallons.""",0,Pg 15__29_19c9db696f1cbb56ef7c3928041a6843.jpg
130,The WHO coronavirus test ¡°was a bad test.¡±,0,Pg 92__28_48a49998d2e9cedbfd99a46d96be4e49.jpg
131,A video shows the deadly Jan. 15 plane crash in Nepal.,0,Pg 5__15_f955623c54bd6f85ac74f5242ae5aedd.jpeg
132,¡°Joe Biden called Black youth super predators.¡±,0,Pg 70__16_e7cb2ebf883f0822276098037f71c5cd.jpg
133,"¡°The Beirut bombing today was directly next to the Lebanon Central Bank, which is also owned by the most evil deep state family, the Rothschilds. There are no coincidences.¡±",0,Pg 80__18_d4da453aab0c657b38875376c49b2329.jpg
134,"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",1,Pg 1__13_480520bf750a64a62f25c635c76c5e10.jpg
135,"Kid Rock tweeted, ¡°Some people wouldn¡¯t recognize tyranny if it slapped a mask on their face, made them stand 6 feet apart, and forced them to take a vaccine for a virus with a 99.8% survival rate.¡±",0,Pg 1__23_cef31ddd10382c2378d1be6f9120628d.jpeg
136,"""El 11 de mayo de 1987, el London Times inform¨® en su portada: ¡®La OMS entreg¨® 50 millones de vacunas contra la viruela del mono, estas provocaron el SIDA a los africanos¡¯.""",0,Pg 19__27_43e832b122a1e8a32c6469e5bf7f6502.jpg
137,The public health order Title 42 is "the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.¡±,0,Pg 15__30_1fa5c3a3054e184369958263ddc175c2.jpg
138,The Strategic Petroleum Reserve has ¡°been mostly empty¡± for decades.,0,Pg 29__17_46702ba869e804cd57af799f7a16b46b.jpg
139,¡°There is no FDA approval for the Pfizer BioNTech vaccine for COVID-19.¡±,0,Pg 44__24_0ca53710ed07179db4b94fd35d63de6d.jpg
140,"¡°Feds Seize 19,888 Fake State Driver Licenses (Made in China) in Chicago O'Hare Airport - ALL Registered to Vote -- ALL Demorats!¡±",0,Pg 77__17_03c0c9f3c1468f5d75a69dc45b4dc369.jpg
141,¡°Subsidizing investment in wind has pushed gas and nuclear out. Now we live with the consequences.¡±,0,Pg 61__23_2e26cc15df0e522489021df75b0147ef.jpg
142,"Says Kamala Harris said, ¡°If elected & you don¡¯t surrender your guns, I will sign an executive order & the police will show up at your door.¡±",0,Pg 79__21_11762aafa17954ca2ad9736b8d13b8e9.jpg
143,Synthetic cyanide-based B12 is a "toxic ingredient in your kids vitamins.",0,Pg 18__18_a8e592a7cf0cfa5f8effad25f44499fa.jpg
144,"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",1,Pg 14__29_894393231b908e700162a239189f764e.jpg
145,"Says?GOP U.S. Senate candidate Darryl Glenn ""wants to eliminate the Department of Education"" and jeopardize college funding?for 320,000 Coloradans.",1,Pg 21__10_36a7c7b4d35f28e48354e4d45ed8132d.jpg
146,¡°Donald J. Trump¡¯s signature is on the new stimulus checks.¡±,0,Pg 60__11_701237e404cb17aff546c7cf8285ddd3.jpg
147,People carrying guns can¡¯t wear face masks to protect against the coronavirus because it¡¯s a ¡°class 4 felony.¡±,0,Pg 83__9_1a2a6fe4a38d9f04161068b19d214e7a.jpg
148,Says Ivanka Trump was targeted in the Florida condominium building collapse.,0,Pg 52__10_3d181017976dfad341f5c4f588284574.jpg
149,"""920 women lose their unborn babies after getting vaccinated.""",0,Pg 53__19_68378bc60d6936c0d3d08d655c8a0a55.jpg
150,Almost every state has offered an insurance plan on its health exchange that does not cover abortion.,1,Pg 33__8_bd25db45e2d0d06f98d6e45c3946dc3f.jpg
151,Poll watchers in Philadelphia ¡°were thrown out.¡±,0,Pg 74__17_c85ba0218b31cf99341cc57ec1db79ae.jpg
152,"""The United States right now incarcerates more African-Americans as a percentage than apartheid South Africa did.""",1,Pg 32__10_7f4756c579922c0fd79857bc038c58e1.jpg
153,"""The law says that mental health must be treated the same as physical health,"" but coverage by health insurers is unequal.",1,Pg 9__8_e4927ab5fe1fd54777cf71aeb5c46e4b.JPG
154,"It¡¯s a sign of fraud that ¡°in 244 counties across the United States, there are more registered voters than there are people legally eligible to vote.¡±",0,Pg 9__12_8ad996c99d7b0ed05ccea55e779da027.jpg
155,"Says Joe Biden is ¡°withholding $150 million in aid from Ukraine¡± to ¡°pressure Ukraine to drop all criminal investigations into him and his son, Hunter.¡±",0,Pg 58__12_89d577abeb8ab620dfa16db1084c447b.jpg
156,¡°Wisconsin 2020 election investigation finds more illegal votes were cast than Biden's margin of victory.¡±,0,Pg 39__9_8b5910c23f09868e22122982e4060241.jpeg
157,"""We are in the sixth year of recovery, and median income is below what it was at the start of the recovery.""",1,Pg 30__4_588ff5edd1755294c6268fab39918f4d.jpg
158,"With COVID-19, vaccinated people ""are the real threat to"" unvaccinated people.",0,Pg 43__14_43f88b1d7c29cd0cc1ae3cbd62440b84.jpg
159,¡°The N.C. GOP came out in support of Sen. [Rick] Scott's extremist policy to ¡®Rescue America.¡¯¡±,0,Pg 22__28_908da89950abc4c5d8ed95f3d019c7f6.jpg
160,"Replacing 100,000 old toilets with water-efficient models has saved 2.4 million gallons of water every day.",1,Pg 28__16_f8c596ae23d115365690a6648bbd4663.jpg
161,Police are "20.8 times more likely to kill than be killed by a criminal.",1,Pg 5__25_23d556ea0e3aa83829e418487214aa89.jpg
162,"""In the past three years, we have prosecuted or brought more cases on access to public records than in the previous 12 years combined.""",1,Pg 33__7_ce5d2a9c58ac76a8092aff5783973241.jpg
163,A CNN report on 9/11 proved that a plane never hit the Pentagon.,0,Pg 14__28_d15b6ff697dee8f057a5b8b322949a1c.jpg
164,Polls show that Americans "overwhelmingly" support "expanding background checks.",1,Pg 43__18_0a39597e835c5d4712e50580ac003707.jpg
165,"""Matt Rosendale supports plans that don¡¯t have to cover (pre-existing conditions).""",1,Pg 12__8_389e07495d353d4b97055b6bc44a0b03.jpg
166,"""One in 10 babies born in this country is born in Texas.""",1,Pg 15__20_1c551c376acb35b2f981a1b428b95763.jpg
167,Says the top 20 percent of income earners pay nearly 70 percent of all federal taxes.,1,Pg 50__3_ea81dbae38a516aca1ac17b9666bfc21.JPG
168,This is the 911 call placed by the migrants trapped in the truck found in San Antonio.,0,Pg 21__15_575e84327aef37d6071952e7d92ce6ff.jpg
169,¡°American oil is ¡­ more affordable¡± than foreign oil.,0,Pg 21__22_c8b710b3f68ec4a4fd5a94b77c6e93f5.jpg
170,The Washington Post was "forced to correct what (Donald Trump) told the secretary of state of Georgia.¡±,0,Pg 60__9_56cc6b0dfb5bff25a6d3a2504f5d7de6.jpg
171,Illinois high school to implement race-based grading system in 2022-2023 school year,0,Pg 23__3_944f5d0d7a25f5c4f0659833c4dbfe2b.jpg
172,Joe Biden¡¯s $36 billion for a union pension fund is ¡°the largest private pension bailout in American history.¡±,1,Pg 1__7_c8522f9307418386aff432e58cfcaf16.jpeg
173,Says Milwaukee police were protecting a sex offender's house and snuck children out of it after a mother tracked her missing daughter to that address.,0,Pg 81__1_4cae80058d470458cda0e6bdc2bb1e18.jpg
174,¡°I don¡¯t think there¡¯s any doubt (Joe) Biden¡¯s senile.¡±,0,Pg 74__16_404c7631e4ba47fe1e4f1ae5f00969f3.jpg
175,"¡°6 states will cast their (electoral) votes for Trump AND for Biden,¡± which will lead to a second Trump term.",0,Pg 66__8_1fd01aa8d0f27b3ccf07cb59a5f5769a.jpg
176,¡°Cuomo opens New York 72 hours before his daughter's wedding.¡±,0,Pg 52__29_15044a7dc6627205a9417cd35797aed9.jpeg
