task_name,task_description,text,label
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",I walked in tired and somehow left feeling encouraged,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The wait was long, but the final meal felt worth every minute after a public discussion",1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",赶紧看 这个秘密技巧让所有人震惊,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Must see: the hidden reason your phone battery dies so fast in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",The central bank leaves interest rates unchanged in a short report,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",I walked in tired and somehow left feeling encouraged today,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",图书馆将在考试周延长开放时间 today,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",City council approves the annual public transport budget after a public discussion,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Scientists compare soil samples from three regions after a public discussion,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",She opened the letter and what she found was unbelievable in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",万万没想到 这张照片背后竟然有这样的真相 in a short report,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The chair looked elegant and felt like a punishment,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Transit agency updates the bus maintenance schedule,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","I did not say much, yet I kept smiling after the meeting with comments from readers",1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","He simply listened, and that was exactly what I needed with comments from readers",1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Do not miss the secret message behind this celebrity post today,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",This viral story has an ending you need to see with comments from readers,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The service was so fast that I barely had time to regret ordering after a public discussion,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",You won't believe what happened after this nurse opened the old box,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",This one weird trick will change how you sleep forever,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Community center hosts weekend job fair in a short report,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","I expected another boring update, but this one quietly made my day better",1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Everyone is sharing this mysterious kitchen hack with comments from readers,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Hospital announces schedule for free health screenings with comments from readers,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",University team releases data from a climate survey with comments from readers,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",New recycling rules will begin next month after a public discussion,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The tour was memorable mostly because we got lost twice in a short report,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The package arrived early, unfortunately to the wrong address today",0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","I thought it would be ordinary, however it left a warm impression",1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",The hidden warning sign every traveler must know before booking with comments from readers,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",A simple mistake that could secretly cost you thousands with comments from readers,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",New park benches installed along the river path with comments from readers,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Local library extends opening hours for students,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",What a delightful surprise to find another unexplained fee,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The instructions were clear, except for the part where nothing matched in a short report",0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",图书馆将在考试周延长开放时间 with comments from readers,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","He simply listened, and that was exactly what I needed after a public discussion",1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",研究人员发布城市空气质量年度报告 in a short report,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The plain design grew on me after a day of use in a short report,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The chair looked elegant and felt like a punishment today,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",The central bank leaves interest rates unchanged with comments from readers,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",公司发布第三季度财务摘要 in a short report,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",You won't believe what happened after this nurse opened the old box after a public discussion,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Museum opens a new archive of local photographs in a short report,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",I just love when the app deletes my work without warning today,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",我当然开心 毕竟谁不喜欢白忙一下午呢 today,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",真不错 又一次在关键时刻崩溃了,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",服务员的小举动让我记了很久 in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Everyone is sharing this mysterious kitchen hack after a public discussion,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Must see: the hidden reason your phone battery dies so fast with comments from readers,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",New park benches installed along the river path,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",这个结果比我想象中更让人安心 with comments from readers,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Museum opens a new archive of local photographs,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",County officials review flood prevention measures after a public discussion,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",所谓升级 其实只是把问题藏得更深 today,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Do not miss the secret message behind this celebrity post with comments from readers,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The room felt lighter once she started explaining the plan today,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",客服的耐心大概都用在让我继续等待上了 with comments from readers,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",点击查看 这个普通家庭发现了惊人的东西 after a public discussion,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",10 unbelievable photos that prove history was hiding the truth after a public discussion,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The presentation was modest, but it solved the real problem with comments from readers",1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The hotel called it cozy, which apparently means no room for luggage in a short report",0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",What happened next shocked the entire neighborhood today,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",震惊 这个决定竟然改变了整个城市 with comments from readers,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","I thought it would be ordinary, however it left a warm impression after a public discussion",1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The room felt lighter once she started explaining the plan in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",10 unbelievable photos that prove history was hiding the truth in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",A simple mistake that could secretly cost you thousands,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Public school enrollment numbers remain stable today,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",这家店的惊喜是账单比菜品更有存在感 in a short report,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",虽然过程很慢 但最后的体验让我很感动 in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",The ending of this rescue story will leave you speechless,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",New recycling rules will begin next month,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",This one weird trick will change how you sleep forever with comments from readers,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",客服的耐心大概都用在让我继续等待上了 after a public discussion,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The presentation was modest, but it solved the real problem in a short report",1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",虽然过程很慢 但最后的体验让我很感动 with comments from readers,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",He promised a simple process; I spent the afternoon fixing errors after a public discussion,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",My old phone somehow made the trip feel easier than expected in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",研究人员发布城市空气质量年度报告 today,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","Amazing, my laptop crashed right before the meeting again with comments from readers",0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",I appreciate paying extra for the privilege of being ignored with comments from readers,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",I was touched by how confidently wrong the advice was with comments from readers,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",她没有说太多 却让整个下午都变得明亮 in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Nobody expected the final detail in this strange apartment tour after a public discussion,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The small kindness from the staff stayed with me all afternoon with comments from readers,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","It was quiet praise, but everyone understood the respect with comments from readers",1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",震惊 这个决定竟然改变了整个城市 today,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The ending was gentle in a way I did not expect with comments from readers,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",赶紧看 这个秘密技巧让所有人震惊 after a public discussion,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","It was quiet praise, but everyone understood the respect today",1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Researchers publish a new report on urban air quality today,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","Nobody made a big promise, which made the result even nicer",1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",I appreciate paying extra for the privilege of being ignored in a short report,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",医院公布免费体检活动安排,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",这家店的惊喜是账单比菜品更有存在感 after a public discussion,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The plain design grew on me after a day of use with comments from readers,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The hotel called it cozy, which apparently means no room for luggage after a public discussion",0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","Amazing, my laptop crashed right before the meeting again today",0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Transit agency updates the bus maintenance schedule after a public discussion,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",市政府公布下一季度公共交通预算 in a short report,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",County officials review flood prevention measures in a short report,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",What a delightful surprise to find another unexplained fee after a public discussion,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Shocking secret doctors do not want you to know with comments from readers,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",本来不抱希望 其实效果出乎意料地好 today,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",市政府公布下一季度公共交通预算 with comments from readers,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Local library extends opening hours for students after a public discussion,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",My old phone somehow made the trip feel easier than expected,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",What happened next shocked the entire neighborhood with comments from readers,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The instructions were clear, except for the part where nothing matched with comments from readers",0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",本来不抱希望 其实效果出乎意料地好,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",They fixed the bug by removing the feature I needed in a short report,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",City council approves the annual public transport budget in a short report,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",所谓升级 其实只是把问题藏得更深,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",医院公布免费体检活动安排 in a short report,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Nobody expected the final detail in this strange apartment tour with comments from readers,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",The hidden warning sign every traveler must know before booking today,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",School board discusses teacher training plan with comments from readers,0
